frame_num,class_id,confidence,left,top,right,bottom,center_x,center_y,timestamp
624,0,0.278,417,69,611,516,514,292,1748893083.677138
628,0,0.473,395,52,578,651,487,351,1748893083.774648
629,0,0.299,384,42,570,559,477,300,1748893083.7856963
644,0,0.378,363,40,571,685,467,362,1748893084.0104585
645,0,0.319,365,36,573,664,469,350,1748893084.0282247
646,0,0.369,366,25,574,689,470,357,1748893084.0457454
647,0,0.287,366,25,575,587,471,306,1748893084.0645862
648,0,0.380,366,27,576,701,471,364,1748893084.079095
649,0,0.363,367,35,578,612,472,323,1748893084.0986886
650,0,0.404,367,48,579,583,473,315,1748893084.1132338
651,0,0.397,368,40,579,584,474,312,1748893084.1288447
652,0,0.501,368,36,579,706,474,371,1748893084.1457872
653,0,0.637,370,38,581,590,475,314,1748893084.1656036
654,0,0.720,371,41,581,581,476,311,1748893084.176751
655,0,0.670,373,40,583,583,478,311,1748893084.1972756
656,0,0.552,376,38,584,611,480,325,1748893084.2113988
657,0,0.491,377,35,584,703,480,369,1748893084.2287378
658,0,0.591,381,37,586,646,484,342,1748893084.2445297
659,0,0.498,385,35,588,608,486,321,1748893084.2628248
660,0,0.657,385,38,589,576,487,307,1748893084.2781954
661,0,0.401,388,36,589,687,488,362,1748893084.2963579
662,0,0.701,393,39,590,554,492,296,1748893084.3134756
663,0,0.641,395,39,592,556,493,297,1748893084.3307128
664,0,0.255,398,40,593,676,496,358,1748893084.3460684
665,0,0.370,400,37,594,635,497,336,1748893084.3652842
666,0,0.436,401,37,597,545,499,291,1748893084.382115
668,0,0.435,408,41,600,545,504,293,1748893084.4135408
669,0,0.505,410,40,600,690,505,365,1748893084.4282784
670,0,0.452,411,40,602,695,506,368,1748893084.4487445
671,0,0.497,412,38,603,642,507,340,1748893084.4637191
672,0,0.480,412,41,604,702,508,372,1748893084.484288
673,0,0.499,412,40,605,554,508,297,1748893084.4937718
674,0,0.495,412,40,606,671,509,355,1748893084.5118866
675,0,0.523,412,40,606,666,509,353,1748893084.5285845
676,0,0.549,412,41,606,601,509,321,1748893084.546833
677,0,0.467,413,41,607,695,510,368,1748893084.565885
678,0,0.616,412,42,607,693,509,368,1748893084.5805233
679,0,0.686,412,41,606,694,509,368,1748893084.5989842
680,0,0.648,411,42,606,567,508,305,1748893084.6097736
681,0,0.592,410,42,606,694,508,368,1748893084.6315558
682,0,0.597,408,41,606,693,507,367,1748893084.6449685
683,0,0.735,402,41,606,696,504,368,1748893084.6629927
684,0,0.618,401,40,605,698,503,369,1748893084.6783035
685,0,0.782,402,40,604,692,503,366,1748893084.6944258
686,0,0.724,401,40,603,676,502,358,1748893084.712521
687,0,0.805,401,38,603,690,502,364,1748893084.726611
688,0,0.789,401,40,603,688,502,364,1748893084.7436519
689,0,0.773,403,41,604,688,503,365,1748893084.7629547
690,0,0.654,403,42,605,691,504,367,1748893084.780071
691,0,0.708,408,40,605,688,506,364,1748893084.7963474
692,0,0.789,411,41,605,692,508,366,1748893084.8154395
693,0,0.669,411,38,606,687,508,363,1748893084.8265846
694,0,0.662,412,38,606,565,509,301,1748893084.8469706
695,0,0.533,413,37,607,657,510,347,1748893084.8627362
696,0,0.373,413,36,606,653,510,345,1748893084.8810744
