frame_num,class_id,confidence,left,top,right,bottom,center_x,center_y,timestamp
246,0,0.759,459,246,632,601,545,423,1748893260.1101012
247,0,0.867,447,261,625,605,536,433,1748893260.1475015
248,0,0.823,441,262,621,606,531,434,1748893260.1801958
249,0,0.863,442,259,624,608,533,433,1748893260.210241
250,0,0.694,448,246,634,608,541,427,1748893260.2443264
251,0,0.592,465,218,648,610,556,414,1748893260.2771885
279,0,0.32,451,135,632,564,542,349,1748893261.2099853
280,0,0.339,448,126,631,618,539,372,1748893261.2477572
294,0,0.253,498,62,664,475,581,268,1748893261.7096958
325,0,0.349,806,0,816,18,811,9,1748893262.7426934
326,0,0.315,806,0,816,19,811,9,1748893262.7799451
328,0,0.355,806,0,816,18,811,9,1748893262.843126
329,0,0.268,806,0,816,19,811,9,1748893262.877509
330,0,0.311,806,0,816,18,811,9,1748893262.9134166
332,0,0.343,806,0,816,18,811,9,1748893262.9779909
334,0,0.311,806,0,816,19,811,9,1748893263.0427513
335,0,0.374,806,0,816,19,811,9,1748893263.0802138
336,0,0.314,805,0,815,18,810,9,1748893263.1126707
338,0,0.286,806,0,816,19,811,9,1748893263.1759088
339,0,0.28,806,0,816,19,811,9,1748893263.2129633
340,0,0.315,806,0,816,18,811,9,1748893263.2445917
342,0,0.35,806,0,816,19,811,9,1748893263.309223
343,0,0.33,806,0,816,18,811,9,1748893263.3444278
344,0,0.364,806,0,817,19,812,9,1748893263.3783875
345,0,0.259,806,0,816,18,811,9,1748893263.4092944
346,0,0.461,805,0,816,19,811,9,1748893263.4425824
347,0,0.538,805,0,816,19,811,9,1748893263.4760828
348,0,0.449,806,0,816,19,811,9,1748893263.510316
349,0,0.467,806,0,816,18,811,9,1748893263.5430474
350,0,0.294,806,0,816,19,811,9,1748893263.576406
352,0,0.492,805,0,816,19,811,9,1748893263.642672
353,0,0.334,806,0,817,19,811,9,1748893263.6792128
354,0,0.331,806,0,816,18,811,9,1748893263.712495
355,0,0.465,806,0,816,19,811,9,1748893263.742519
356,0,0.346,806,0,816,18,811,9,1748893263.7765002
357,0,0.315,806,0,816,19,811,9,1748893263.8093817
358,0,0.258,806,0,816,18,811,9,1748893263.8431807
359,0,0.426,806,0,816,19,811,9,1748893263.8759594
360,0,0.464,806,0,816,19,811,9,1748893263.9094415
361,0,0.504,805,0,815,19,810,9,1748893263.9424908
362,0,0.447,806,0,816,19,811,9,1748893263.9760692
363,0,0.374,806,0,817,20,811,10,1748893264.0129395
364,0,0.379,806,0,816,19,811,9,1748893264.0453327
367,0,0.443,805,0,816,19,810,9,1748893264.1423025
370,0,0.298,806,0,816,19,811,9,1748893264.2423496
371,0,0.306,806,0,817,19,811,9,1748893264.2768486
372,0,0.338,806,0,816,19,811,9,1748893264.3108664
373,0,0.354,806,0,816,19,811,9,1748893264.3424113
374,0,0.275,806,0,817,19,811,9,1748893264.3764777
376,0,0.39,806,0,816,19,811,9,1748893264.4425304
377,0,0.311,806,0,816,19,811,9,1748893264.482378
380,0,0.292,806,0,816,19,811,9,1748893264.5758815
381,0,0.365,806,0,816,19,811,9,1748893264.6094885
382,0,0.412,806,0,816,19,811,9,1748893264.6427715
383,0,0.393,806,0,817,19,811,9,1748893264.6796165
384,0,0.361,805,0,816,19,810,9,1748893264.7123451
385,0,0.26,806,0,816,18,811,9,1748893264.7458627
386,0,0.386,806,0,817,19,811,9,1748893264.7756503
387,0,0.473,805,0,816,19,811,9,1748893264.8091056
388,0,0.508,805,0,816,19,810,9,1748893264.8460279
389,0,0.388,805,0,816,19,811,9,1748893264.8760655
390,0,0.33,805,0,816,19,810,9,1748893264.909473
391,0,0.324,806,0,816,19,811,9,1748893264.9424658
392,0,0.282,806,0,816,19,811,9,1748893264.976661
393,0,0.252,806,0,816,19,811,9,1748893265.00926
394,0,0.419,806,0,816,19,811,9,1748893265.042344
396,0,0.41,806,0,816,19,811,9,1748893265.1089435
397,0,0.382,806,0,816,19,811,9,1748893265.1459696
